Stand,Stand User,Destructive Power,Speed,Range,Stamina,Precision,Development Potential
Aerosmith,Narancia Ghirga,B,B,B,C,E,C
Aqua Necklace,Anjuro Katagiri,C,C,A,A,C,E
Atom Heart Father,Yoshikage Kira,E,E,Null,A,E,E
Baby Face,Melone,A,B,A,A,?,?
Bad Company,Keicho Nijimura,B,B,C,B,C,C
Beach Boy,Pesci,C,B,B,C,C,A
Bohemian Rhapsody,Ungalo,Null,Null,Infinity,A,Null,Null
Boy II Man,Ken Oyanagi,C,B,B,A,C,C
Burning Down the House,Emporio Alnino,Null,Null,Null,Null,Null,Null
Cheap Trick,Masazo Kinoto,E,E,E,A,E,E
Cinderella,Aya Tsuji,D,C,C,C,A,C
Clash,Squalo,D,A,B,A,A,C
Crazy Diamond,Josuke Higashikata,A,A,D,B,B,C
Cream,Vanilla Ice,B,B,D,C,C,D
Diver Down,Narciso Anasui,A,A,E,C,B,B
Earth Wind and Fire,Mikitaka Hazekura,C,C,Null,A,C,C
Echoes,Koichi Hirose,B,B,C,B,C,A
Enigma,Terunosuke Miyamoto,E,E,C,A,C,C
Foo Fighters,Foo Fighters,B,A,C,A,C,B
Gold Experience,Giorno Giovanna,C,A,C,D,C,A
Green Day,Cioccolata,A,C,A,A,E,A
Harvest,Shigekiyo Yangu,E,B,A,A,E,C
Heaven's Door,Rohan Kishibe,D,B,B,B,C,A
Hermit Purple,Joseph Joestar,D,C,D,A,D,E
Hierophant Green,Noriaki Kakyoin,C,B,A,B,C,D
Highway Star,Yuya Fungami,C,B,A,A,E,C
Justice,Enya the Hag,D,E,A,A,E,E
Killer Queen,Yoshikage Kira,A,B,D,B,B,A
King Crimson,Diavolo,A,A,E,E,?,?
Kiss,Ermes Costello,A,A,A,A,C,A
Kraft Work,Sale,A,A,E,C,E,E
Little Feet,Formaggio,D,B,E,A,D,C
Love Deluxe,Yukako Yamagishi,B,B,C,A,E,B
Made in Heaven,Enrico Pucci,B,Infinity,C,A,C,A
Magician's Red,Muhammad Avdol,B,B,C,B,C,D
Man in the Mirror,Illuso,C,C,B,D,C,E
Metallica,Risotto Nero,C,C,C,A,C,C
Moody Blues,Leone Abbacchio,C,C,A,A,C,C
Notorious B.I.G,Carne,A,Infinity,Infinity,Infinity,E,A
Oasis,Secco,A,A,B,A,E,C
Pearl Jam,Tonio Trussardi,E,C,B,A,E,C
Purple Haze,Pannacotta Fugo,A,B,C,E,E,B
Red Hot Chili Pepper,Akira Otoishi,A,A,A,A,C,A
Sex Pistols,Guido Mista,E,C,B,A,A,B
Silver Chariot,Jean Pierre Polnareff,C,A,C,B,B,C
Sky High,Rikiel,Null,Null,B,C,Null,Null
Soft Machine,Mario Zucchero,A,C,E,A,D,E
Spice Girl,Trish Una,A,A,C,B,D,C
Star Platinum,Jotaro Kujo,A,A,C,A,A,A
Sticky Fingers,Bruno Bucciarati,A,A,C,D,C,D
Stone Free,Jolyne Cujoh,A,B,C,A,C,A
Super Fly,Toyohiro Kanedaichi,E,E,Null,A,E,E
Surface,Toshikazu Hazamada,B,B,C,B,C,C
Talking Head,Tizzano,E,E,B,A,E,E
The Fool,Iggy,B,C,D,C,D,C
The Grateful Dead,Prosciutto,B,E,B,A,E,C
The Hand,Okuyasu Nijimura,B,B,D,C,C,C
The Lock,Tamami Kobayashi,E,E,A,A,E,E
The World,DIO,A,A,C,A,B,B
Under World,Donatello Versus,Null,C,A,C,Null,Null
Weather Report,Weather Report,A,B,C,A,E,A
White Album,Ghiaccio,A,C,C,A,E,E
